1;310001;3;EXW;USSAC;
2;310001;5;EXW;USSAC;
3;310001;9;EXW;USSAC;
4;310003;3;EXW;USSAC;
5;310004;1;FOB;Les Ulis;
6;310004;5;EXW;Ussac;
7;310004;9;EXW;Ussac;
8;310005;1;EXW;;
9;310005;3;EXW;;
10;310005;4;EXW;;
11;310005;5;EXW;;
12;310005;9;EXW;;
13;310006;1;EXW;USSAC;
14;310006;4;EXW;USSAC;
15;310006;5;EXW;USSAC;
16;310006;9;EXW;USSAC;
17;310022;1;EXW;Ussac;
18;310022;3;EXW;Ussac;
19;310022;5;EXW;Ussac;
20;310022;9;EXW;Ussac;
21;310028;3;EXW;Ussac;
22;310028;5;EXW;Ussac;
23;310028;9;EXW;Ussac;
24;310034;3;EXW;Ussac;
25;310034;5;EXW;Ussac;
26;310034;9;EXW;Ussac;
27;310035;3;EXW;USSAC;
28;310035;5;EXW;USSAC;
29;310035;9;EXW;USSAC;
30;310042;1;EXW;USSAC;
31;310042;4;EXW;USSAC;
32;310042;5;EXW;USSAC;
33;310042;9;EXW;USSAC;
34;310051;3;EXW;USSAC;
35;310051;5;EXW;USSAC;
36;310051;9;EXW;USSAC;
37;310052;3;EXW;USSAC;
38;310052;5;EXW;USSAC;
39;310052;9;EXW;USSAC;
40;310053;1;FOB;LE THILLAY;
41;310053;4;FOB;ROISSY;
42;310064;3;EXW;USSAC;
43;310064;5;EXW;USSAC;
44;310064;9;EXW;USSAC;
45;310066;1;FOB;MARSEILLE;
46;310066;4;FCA;ROISSY CDG;
47;310066;5;EXW;USSAC;
48;310066;9;EXW;USSAC;
49;310067;1;EXW;Ussac;
50;310067;3;EXW;Ussac;
51;310067;4;EXW;Ussac;
52;310067;5;EXW;Ussac;
53;310067;9;EXW;Ussac;
54;310068;1;FOB;LE HAVRE;
55;310068;4;FOB;ROISSY;
56;310068;9;EXW;USSAC;
57;310073;1;FCA;LE HAVRE;
58;310073;5;EXW;Ussac;
59;310073;9;EXW;Ussac;
60;310074;3;FCA;AULNAY ;
61;310074;9;EXW;USSAC;
62;310075;5;EXW;USSAC;
63;310076;3;FCA;LOGNES;
64;310076;5;EXW;USSAC;
65;310076;9;EXW;USSAC;
66;310077;1;FOB;MARSEILLE;
67;310080;1;FCA;;
68;310080;4;FCA;ROISSY;
69;310083;1;EXW;USSAC;
70;310083;4;EXW;USSAC;
71;310083;5;EXW;USSAC;
72;310083;9;EXW;USSAC;
73;310085;3;EXW;USSAC;
74;310085;4;EXW;USSAC;
75;310085;5;EXW;USSAC;
76;310085;9;EXW;USSAC;
77;310086;1;EXW;USSAC - MEYSSAC;
78;310086;4;EXW;USSAC - MEYSSAC;
79;310086;9;EXW;USSAC;
80;310095;1;EXW;USSAC;
81;310095;3;EXW;USSAC;
82;310095;4;EXW;USSAC;
83;310095;5;EXW;USSAC;
84;310095;9;EXW;USSAC;
85;310104;3;EXW;USSAC;
86;310104;5;EXW;USSAC;
87;310104;9;EXW;USSAC;
88;310108;3;EXW;USSAC;
89;310108;5;EXW;USSAC;
90;310108;9;EXW;USSAC;
91;310110;3;EXW;USSAC;
92;310110;4;EXW;USSAC;
93;310110;5;EXW;USSAC;
94;310110;9;EXW;USSAC;
95;310111;3;EXW;USSAC;
96;310111;4;EXW;USSAC;
97;310111;5;EXW;USSAC;
98;310111;9;EXW;;
99;310113;1;FOB;Les Ulis;
100;310113;5;EXW;Ussac;
101;310113;9;EXW;Ussac;
102;310119;3;EXW;USSAC;
103;310119;5;EXW;USSAC;
104;310119;9;EXW;USSAC;
105;310125;1;EXW;USSAC;
106;310125;3;EXW;USSAC;
107;310125;4;EXW;USSAC;
108;310125;5;EXW;USSAC;
109;310125;9;EXW;USSAC;
110;310134;3;EXW;USSAC;
111;310134;4;EXW;USSAC;
112;310134;5;EXW;USSAC;
113;310134;9;EXW;USSAC;
114;310136;3;EXW;USSAC;
115;310136;4;EXW;USSAC;
